female,age,coupon,start,time,churn,followtime
0,64,0,13,158,1,158
0,22,0,340,145,0,25
0,37,0,215,172,0,150
0,55,0,54,424,0,311
0,71,0,216,529,0,149
0,38,0,273,764,0,92
0,44,0,105,1208,0,260
0,59,0,131,203,1,203
0,26,1,235,14,1,14
1,27,0,107,691,0,258
1,61,0,347,1298,0,18
0,49,0,5,255,1,255
0,65,1,294,512,0,71
0,15,0,295,663,0,70
0,61,0,135,1413,0,230
0,57,0,127,1408,0,238
0,28,1,348,551,0,17
0,60,1,67,538,0,298
0,37,1,327,1357,0,38
0,42,0,92,1,1,1
0,22,1,209,21,1,21
0,15,0,186,446,0,179
1,16,0,111,1011,0,254
0,57,0,178,741,0,187
0,24,1,153,323,0,212
0,20,1,58,444,0,307
0,70,0,297,1640,0,68
0,65,0,208,1642,0,157
0,74,0,223,239,0,142
0,17,0,145,732,0,220
0,51,0,77,1329,0,288
1,25,0,49,1402,0,316
0,40,1,364,34,0,1
0,33,0,55,818,0,310
1,40,0,105,1127,0,260
0,58,0,18,1146,0,347
1,24,0,33,120,1,120
0,83,0,1,1541,0,364
0,50,0,48,1133,0,317
1,80,1,300,1423,0,65
0,14,1,303,969,0,62
0,13,0,16,137,1,137
0,23,1,78,944,0,287
0,31,0,168,191,1,191
0,67,0,74,1255,0,291
0,61,0,150,908,0,215
0,36,0,188,363,0,177
0,51,0,256,16,1,16
0,52,0,202,1160,0,163
0,52,0,12,1401,0,353
1,53,1,333,1338,0,32
0,81,0,114,526,0,251
0,13,0,171,116,1,116
0,18,0,216,682,0,149
0,82,0,346,1238,0,19
0,65,0,203,823,0,162
0,83,0,184,1271,0,181
0,16,0,193,489,0,172
0,44,0,108,743,0,257
1,84,0,327,1148,0,38
0,61,0,125,188,1,188
1,35,0,219,854,0,146
0,41,0,269,607,0,96
0,83,1,306,386,0,59
1,78,0,56,1787,0,309
0,30,1,181,1262,0,184
0,45,0,57,256,1,256
0,52,0,119,701,0,246
0,23,1,78,136,1,136
1,22,0,109,1336,0,256
1,20,0,151,653,0,214
0,17,0,25,179,1,179
0,23,0,40,985,0,325
0,58,0,108,800,0,257
1,24,0,240,111,1,111
0,74,0,198,664,0,167
0,19,0,192,1,1,1
0,61,0,357,745,0,8
0,52,0,20,967,0,345
0,74,0,17,53,1,53
0,32,0,347,614,0,18
0,77,1,303,17,1,17
0,20,0,99,797,0,266
0,15,0,96,276,0,269
0,40,0,78,142,1,142
0,33,0,310,229,0,55
0,62,0,341,1435,0,24
0,34,0,112,542,0,253
0,46,0,177,204,0,188
0,53,0,60,667,0,305
0,68,0,96,1023,0,269
1,31,1,41,118,1,118
0,23,0,199,625,0,166
1,20,1,301,913,0,64
1,83,0,185,1343,0,180
0,72,0,230,581,0,135
0,58,0,71,891,0,294
1,74,0,17,1350,0,348
0,61,0,153,826,0,212
0,61,0,26,559,0,339
0,33,1,341,478,0,24
0,55,0,172,1325,0,193
0,61,0,285,429,0,80
0,23,0,172,771,0,193
1,63,1,105,75,1,75
1,71,0,115,78,1,78
0,39,0,60,369,0,305
0,34,1,312,191,0,53
0,22,0,54,412,0,311
0,71,1,120,1371,0,245
0,77,0,273,939,0,92
1,30,0,10,835,0,355
0,17,0,168,1090,0,197
0,44,0,261,926,0,104
1,82,0,207,687,0,158
1,24,0,217,570,0,148
0,42,0,210,800,0,155
0,32,0,132,125,1,125
0,60,0,357,1517,0,8
0,79,0,273,1456,0,92
1,15,0,14,1289,0,351
1,16,1,330,1336,0,35
1,31,0,274,1136,0,91
