HITId,HITTypeId,Title,Description,Keywords,Reward,CreationTime,MaxAssignments,RequesterAnnotation,AssignmentDurationInSeconds,AutoApprovalDelayInSeconds,Expiration,NumberOfSimilarHITs,LifetimeInSeconds,AssignmentId,WorkerId,AssignmentStatus,AcceptTime,SubmitTime,AutoApprovalTime,ApprovalTime,RejectionTime,RequesterFeedback,WorkTimeInSeconds,LifetimeApprovalRate,Last30DaysApprovalRate,Last7DaysApprovalRate,URL,approx_year_built,cats_allowed, common_charges ,community_district_num,coop_condo,date_of_sale,dining_room_type,dogs_allowed,fuel_type,full_address_or_zip_code,garage_exists,kitchen_type, maintenance_cost ,model_type,num_bedrooms,num_floors_in_building,num_full_bathrooms,num_half_bathrooms,num_total_rooms, parking_charges ,pct_tax_deductibl, sale_price ,sq_footage, total_taxes ,walk_score
33KGGVH24UH2AXU58OJ65374YHT1XR,36BILMLQB75QQNBTYKGYCZWDN8TVAU,Find Information about Housing To Help a Student Project -- Very easy,Go to a link and copy information into the HIT,,$0.05 ,Wed Feb 15 22:13:33 PST 2017,1,BatchId:2689947;OriginalHitTemplateId:920937336;,900,60,Wed Feb 22 22:13:33 PST 2017,,,3S4AW7T80BIRPM8T7P4MGRF5DL1L4I,A231MNJJDDF3LS,Approved,Thu Feb 16 02:18:02 PST 2017,Thu Feb 16 02:19:38 PST 2017,Thu Feb 16 02:20:38 PST 2017,2017-02-16 10:21:11 UTC,,,96,100% (187/187),100% (187/187),100% (187/187),http://www.mlsli.com/homes-for-sale/241-13B-Oak-Park-Dr-Douglaston-NY-11362-181659487,1995,no,,26,condo,11/3/2016,combo,no,gas,"241-13B Oak Park Dr,  Douglaston NY, 11362",,efficiency, $344 ,Simplex,2,3,2,,5,,," $588,000 ",1137," $2,780 ",15
39WICJI5ATSNPV8ZWALAQH2C4153ZI,36BILMLQB75QQNBTYKGYCZWDN8TVAU,Find Information about Housing To Help a Student Project -- Very easy,Go to a link and copy information into the HIT,,$0.05 ,Wed Feb 15 22:13:31 PST 2017,1,BatchId:2689947;OriginalHitTemplateId:920937336;,900,60,Wed Feb 22 22:13:31 PST 2017,,,3MRNMEIQW564PIRM005FJV9BQY3DLW,A1KH9UPH0D74QJ,Approved,Thu Feb 16 06:26:34 PST 2017,Thu Feb 16 06:28:40 PST 2017,Thu Feb 16 06:29:40 PST 2017,2017-02-16 14:30:11 UTC,,,126,100% (80/80),100% (80/80),100% (80/80),http://www.mlsli.com/homes-for-sale/240-02-70th-Ave-Douglaston-NY-11362-181001705,1960,no, $426 ,26,condo,10/18/2016,,no,gas,"240-02 70th Ave,  Douglaston NY, 11362",,efficiency,,High Point,1,3,1,1,5,,," $438,000 ",," $2,800 ",23
3UUSLRKAUL32ND4Q64Z3C6VPLLHD7Y,36BILMLQB75QQNBTYKGYCZWDN8TVAU,Find Information about Housing To Help a Student Project -- Very easy,Go to a link and copy information into the HIT,,$0.05 ,Wed Feb 15 22:13:46 PST 2017,1,BatchId:2689947;OriginalHitTemplateId:920937336;,900,60,Wed Feb 22 22:13:46 PST 2017,,,34YB12FSQYOR7KJY2272PTRX3USMGY,A2OFWFHVQOBY56,Approved,Wed Feb 15 23:15:43 PST 2017,Wed Feb 15 23:18:40 PST 2017,Wed Feb 15 23:19:40 PST 2017,2017-02-16 07:20:11 UTC,,,177,100% (14/14),100% (14/14),100% (7/7),http://www.mlsli.com/homes-for-sale/address-not-available-from-broker-Beechhurst-NY-11357-160937655,1956,no,,25,co-op,6/7/2016,other,no,gas,"Beechhurst NY, 11357",,eat in," $1,081 ",super one,1,6,1,,3, $100 ,40," $352,500 ",1300,,35
3PUOXASB57394XXFDJMKHU5Y4TEZ9U,36BILMLQB75QQNBTYKGYCZWDN8TVAU,Find Information about Housing To Help a Student Project -- Very easy,Go to a link and copy information into the HIT,,$0.05 ,Wed Feb 15 22:13:33 PST 2017,1,BatchId:2689947;OriginalHitTemplateId:920937336;,900,60,Wed Feb 22 22:13:33 PST 2017,,,3D3VGR7TA0FHAOK2CVWZSYWY5DZR3Y,A231MNJJDDF3LS,Approved,Thu Feb 16 04:22:08 PST 2017,Thu Feb 16 04:24:34 PST 2017,Thu Feb 16 04:25:34 PST 2017,2017-02-16 12:26:11 UTC,,,146,100% (187/187),100% (187/187),100% (187/187),http://www.mlsli.com/homes-for-sale/166-25-Powells-Cove-Blvd-Beechhurst-NY-11357-168826552,1962,yes,,25,co-op,10/13/2016,formal,no,gas,"166-25 Powells Cove Blvd,  Beechhurst NY, 11357",,Combo," $2,047 ",6D,2,20,2,,5, $133 ,," $575,000 ",1650,,40
33W1NHWFYHLSOC6TBPR18U6AY0HZTU,36BILMLQB75QQNBTYKGYCZWDN8TVAU,Find Information about Housing To Help a Student Project -- Very easy,Go to a link and copy information into the HIT,,$0.05 ,Wed Feb 15 22:13:39 PST 2017,1,BatchId:2689947;OriginalHitTemplateId:920937336;,900,60,Wed Feb 22 22:13:39 PST 2017,,,3VP0C6EFSGWPARUSQPYGD2E89GNM6U,A394B5QVCVKU7A,Approved,Wed Feb 15 22:17:15 PST 2017,Wed Feb 15 22:19:45 PST 2017,Wed Feb 15 22:20:45 PST 2017,2017-02-16 06:21:11 UTC,,,150,100% (8/8),100% (8/8),100% (8/8),http://www.mlsli.com/homes-for-sale/166-10-Powells-Cove-Blvd-Whitestone-NY-11357-181679612,1958,no,,25,co-op,11/14/2016,combo,no,gas,"166-10 Powells Cove Blvd,  Whitestone NY, 11357",,eat in," $1,000 ",1 Bedroom,1,6,1,,3,,," $252,500 ",,,40
3IKDQS3DQE0P75F8PZ8PJP3GE1GICY,36BILMLQB75QQNBTYKGYCZWDN8TVAU,Find Information about Housing To Help a Student Project -- Very easy,Go to a link and copy information into the HIT,,$0.05 ,Wed Feb 15 22:13:44 PST 2017,1,BatchId:2689947;OriginalHitTemplateId:920937336;,900,60,Wed Feb 22 22:13:44 PST 2017,,,36W0OB37HWE56NDS1XFEIVZ7XZ3ZH9,A231MNJJDDF3LS,Approved,Thu Feb 16 06:41:54 PST 2017,Thu Feb 16 06:43:25 PST 2017,Thu Feb 16 06:44:25 PST 2017,2017-02-16 14:45:11 UTC,,,91,100% (187/187),100% (187/187),100% (187/187),http://www.mlsli.com/homes-for-sale/213-06-75th-Ave-Oakland-Gardens-NY-11364-184515897,1950,no, $429 ,26,co-op,1/9/2017,formal,no,gas,"213-06 75th Ave,  Oakland Gardens NY, 11364",Yes,eat in,,Windsor Park,2,6,1,,5, $86 ,," $300,000 ",, $307 ,42
302OLP89DZ7A1NWADBGC2RFX1TBCAO,36BILMLQB75QQNBTYKGYCZWDN8TVAU,Find Information about Housing To Help a Student Project -- Very easy,Go to a link and copy information into the HIT,,$0.05 ,Wed Feb 15 22:13:35 PST 2017,1,BatchId:2689947;OriginalHitTemplateId:920937336;,900,60,Wed Feb 22 22:13:35 PST 2017,,,3GFK2QRXX9HPWZOSP8UYUU2ZBO95W9,AHXBZXWIZJSVG,Approved,Thu Feb 16 06:27:13 PST 2017,Thu Feb 16 06:28:50 PST 2017,Thu Feb 16 06:29:50 PST 2017,2017-02-16 14:30:12 UTC,,,97,100% (115/115),100% (115/115),100% (103/103),http://www.mlsli.com/homes-for-sale/address-not-available-from-broker-Beechhurst-NY-11357-181351283,1958,no,,25,co-op,1/19/2017,formal,no,gas,"Address Not Available Beechhurst NY, 11357",,eat in," $1,700 ",Cryder Point,3,6,2,,6, $100 ,," $700,000 ",2200,,45
3K3IX1W4S6RTVC5EIG2IMRE40CQAP0,36BILMLQB75QQNBTYKGYCZWDN8TVAU,Find Information about Housing To Help a Student Project -- Very easy,Go to a link and copy information into the HIT,,$0.05 ,Wed Feb 15 22:13:48 PST 2017,1,BatchId:2689947;OriginalHitTemplateId:920937336;,900,60,Wed Feb 22 22:13:48 PST 2017,,,3NGI5ARFTT50O8Q8CZERZAHM6BZ1PQ,A1KH9UPH0D74QJ,Approved,Thu Feb 16 05:30:48 PST 2017,Thu Feb 16 05:32:44 PST 2017,Thu Feb 16 05:33:44 PST 2017,2017-02-16 13:34:11 UTC,,,116,100% (80/80),100% (80/80),100% (80/80),http://www.mlsli.com/homes-for-sale/251-61-71st-Road-Bellerose-NY-11426-168031942,1950,yes,,26,co-op,8/31/2016,combo,yes,oil,"251-61 71st Road,  Bellerose NY, 11426",,efficiency, $679 ,1- Bedroom,1,,1,,3,,," $172,000 ",,,47
3JU8CV4BRLCIXGZFSZ70NMY9PTUPOE,36BILMLQB75QQNBTYKGYCZWDN8TVAU,Find Information about Housing To Help a Student Project -- Very easy,Go to a link and copy information into the HIT,,$0.05 ,Wed Feb 15 22:13:50 PST 2017,1,BatchId:2689947;OriginalHitTemplateId:920937336;,900,60,Wed Feb 22 22:13:50 PST 2017,,,3LYA37P8IQN0QFBK1428958WYDHBKF,AGM58AAS27CVH,Approved,Thu Feb 16 03:44:36 PST 2017,Thu Feb 16 03:48:13 PST 2017,Thu Feb 16 03:49:13 PST 2017,2017-02-16 11:50:11 UTC,,,217,100% (5/5),100% (5/5),100% (5/5),http://www.mlsli.com/homes-for-sale/67-69-Cloverdale-Ln-Oakland-Gardens-NY-11364-156151949,1949,no, $535 ,26,condo,4/8/2016,formal,no,gas,"67-69 Cloverdale Ln,  Oakland Gardens NY, 11364",,eat in,,Oakland Garden,1,,2,,6,,," $420,000 ",," $4,300 ",48
3JHB4BPSFK90Q5WOQN37Q1TUZQU9QB,36BILMLQB75QQNBTYKGYCZWDN8TVAU,Find Information about Housing To Help a Student Project -- Very easy,Go to a link and copy information into the HIT,,$0.05 ,Wed Feb 15 22:13:34 PST 2017,1,BatchId:2689947;OriginalHitTemplateId:920937336;,900,60,Wed Feb 22 22:13:34 PST 2017,,,3LRKMWOKB5H1RXAAICC7VRT58GF2ZO,A1KH9UPH0D74QJ,Approved,Thu Feb 16 02:51:37 PST 2017,Thu Feb 16 02:57:26 PST 2017,Thu Feb 16 02:58:26 PST 2017,2017-02-16 10:59:11 UTC,,,349,100% (80/80),100% (80/80),100% (80/80),http://www.mlsli.com/homes-for-sale/120-01-Riviera-Ct-College-Point-NY-11356-172960424,1989,yes,,25,condo,12/20/2016,formal,yes,gas,"120-01 Riviera Ct,  College Point NY, 11356",,Eat In,,Duplex,3,3,2,,6,,," $600,000 ",," $4,549 ",48
